name,Length,Width,thickness,area,WperM,Cxx,Cyy,Exx,Eyy,Ixx,Iyy,Iuu,Izz,rxx,ryy,ruu,rzz,Zxx,Zyy,Ixy
ISA 30x20x3,30,20,3,1.41,1.1,0.98,0.49,2.02,1.51,1.2,0.4,1.4,0.2,0.92,0.54,0.99,0.41,0.6,0.3,0.4
ISA 30x20x4,30,20,4,1.84,1.4,1.02,0.53,1.98,1.47,1.5,0.5,1.8,0.3,0.92,0.54,0.98,0.41,0.8,0.4,0.5
ISA 40x25x3,40,25,3,1.88,1.5,1.3,0.57,2.7,1.93,3,0.9,3.3,0.5,1.25,0.68,1.33,0.52,1.1,0.5,0.9
ISA 45x30x3,45,30,3,2.18,1.7,1.42,0.69,3.08,2.31,4.4,1.5,5,0.9,1.42,0.84,1.52,0.63,1.4,0.7,1.5
ISA 30x20x5,30,20,5,2.25,1.8,1.06,0.57,1.94,1.43,1.9,0.6,2.1,0.4,0.91,0.53,0.97,0.41,1,0.4,0.6
ISA 50x30x3,50,30,3,2.34,1.8,1.63,0.65,3.37,2.35,5.9,1.6,6.5,1,1.59,0.82,1.67,0.65,1.7,0.7,1.7
ISA 40x25x4,40,25,4,2.46,1.9,1.35,0.62,2.65,1.88,3.8,1.1,4.3,0.7,1.25,0.68,1.32,0.52,1.4,0.6,1.2
ISA 45x30x4,45,30,4,2.86,2.2,1.47,0.73,3.03,2.27,5.7,2,6.5,1.1,1.41,0.84,1.51,0.63,1.9,0.9,1.9
ISA 40x25x5,40,25,5,3.02,2.4,1.39,0.66,2.61,1.84,4.6,1.4,5.1,0.8,1.24,0.67,1.31,0.52,1.8,0.7,1.4
ISA 50x30x4,50,30,4,3.07,2.4,1.68,0.7,3.33,2.3,7.7,2.1,8.5,1.2,1.58,0.82,1.66,0.63,2.3,0.9,2.3
ISA 45x30x5,45,30,5,3.52,2.8,1.51,0.77,2.99,2.23,6.9,2.4,7.9,1.4,1.4,0.83,1.5,0.63,2.3,1.1,2.3
ISA 40x25x6,40,25,6,3.56,2.8,1.43,0.69,2.57,1.81,5.4,1.6,5.9,1,1.23,0.66,1.29,0.52,2.1,0.9,1.6
ISA 50x30x5,50,30,5,3.78,3,1.72,0.74,3.28,2.26,9.3,2.5,10.3,1.5,1.57,0.81,1.65,0.63,2.8,1.1,2.7
ISA 45x30x6,45,30,6,4.16,3.3,1.55,0.81,2.95,2.19,8,2.8,9.2,1.7,1.39,0.82,1.49,0.63,2.7,1.3,2.7
